ID,Name,Domain,Group,Location,Topic,Metadata
energy__consumption__booster-integral_Wh_day_1,Booster,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__booster-integral_Wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Booster"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__booster-integral_Wh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__booster-integral_Wh_day_1""}"
energy__consumption__dining_Dlights-integral_Wh_all_Dtime_1,Dining Lights,Energy,Consumption,Dining,haas/sensor/config/sensor/anode/energy__consumption__dining_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Dining Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__dining_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Dining""]}, ""unique_id"": ""energy__consumption__dining_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__dining_Dlights-integral_mWh_day_1,Dining Lights,Energy,Consumption,Dining,haas/sensor/config/sensor/anode/energy__consumption__dining_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Dining Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__dining_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Dining""]}, ""unique_id"": ""energy__consumption__dining_Dlights-integral_mWh_day_1""}"
energy__consumption__ensuite_Dlights-integral_Wh_all_Dtime_1,Ensuite Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__ensuite_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Ensuite Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__ensuite_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__ensuite_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__ensuite_Dlights-integral_mWh_day_1,Ensuite Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__ensuite_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Ensuite Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__ensuite_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__ensuite_Dlights-integral_mWh_day_1""}"
energy__consumption__fan-integral_Wh_all_Dtime_1,Fan,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__fan-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Fan"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__fan-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__fan-integral_Wh_all_Dtime_1""}"
energy__consumption__fan-integral_Wh_day_1,Fan,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__fan-integral_Wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Fan"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__fan-integral_Wh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__fan-integral_Wh_day_1""}"
energy__consumption__filter-integral_Wh_all_Dtime_1,Filter,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__filter-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Filter"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__filter-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__filter-integral_Wh_all_Dtime_1""}"
energy__consumption__filter-integral_Wh_day_1,Filter,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__filter-integral_Wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Filter"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__filter-integral_Wh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__filter-integral_Wh_day_1""}"
energy__consumption__freezer-integral_Wh_all_Dtime_1,Freezer,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__freezer-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Freezer"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__freezer-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__freezer-integral_Wh_all_Dtime_1""}"
energy__consumption__freezer-integral_Wh_day_1,Freezer,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__freezer-integral_Wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Freezer"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__freezer-integral_Wh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__freezer-integral_Wh_day_1""}"
energy__consumption__hallway_Dlights-integral_Wh_all_Dtime_1,Hallway Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__hallway_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Hallway Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__hallway_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__hallway_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__hallway_Dlights-integral_mWh_day_1,Hallway Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__hallway_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Hallway Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__hallway_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__hallway_Dlights-integral_mWh_day_1""}"
energy__consumption__kitchen_Dlights-integral_Wh_all_Dtime_1,Kitchen Lights,Energy,Consumption,Kitchen,haas/sensor/config/sensor/anode/energy__consumption__kitchen_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Kitchen Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__kitchen_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Kitchen""]}, ""unique_id"": ""energy__consumption__kitchen_Dlights-integral_Wh_all_Dtime_1""}"
